city,crop,crop_variety,Modal_Price (Rs./Quintal)
Pune,बाजरी,MLSH 2428,6797
Pune,सोयाबीन,maus 162,6736
Pune,ज्वारी,Foxtail millet,6496
Pune,बाजरी,MLSH 2428,4941
Pune,तूर,bdl 711,5077
Pune,हरभरा,j11,7253
Pune,गहू,शरबती,5957
Pune,हरभरा,vijay,6396
Pune,हरभरा,jaki 9218,2198
Pune,हरभरा,j11,6372
Pune,हरभरा,vijay,5703
Pune,बाजरी,MLSH 2428,3175
Pune,सोयाबीन,js335,3898
Pune,हरभरा,j11,3730
Pune,हरभरा,j11,7018
Pune,हरभरा,digvijay,5276
Pune,तूर,bdl 716,3729
Pune,गहू,शरबती,4829
Pune,सोयाबीन,maus 162,4394
Pune,हरभरा,j11,3648
Pune,सोयाबीन,maus 71,2097
Pune,हरभरा,digvijay,6917
Pune,तूर,bdl 711,5729
Pune,बाजरी,MLSH 2428,5034
Pune,तूर,bdl 716,2312
Pune,ज्वारी,Foxtail millet,4003
Pune,बाजरी,MLSH 2428,7083
Pune,तूर,bdl 711,4584
Pune,सोयाबीन,js335,7355
Pune,सोयाबीन,maus 162,7929
Pune,हरभरा,digvijay,3049
Pune,सोयाबीन,maus 71,3038
Pune,ज्वारी,Foxtail millet,5812
Pune,बाजरी,MLSH-296 GOLD,5112
Pune,सोयाबीन,maus 162,6823
Pune,सोयाबीन,js335,3004
Pune,तूर,godavari,6646
Pune,सोयाबीन,maus 71,2408
Pune,गहू,HI-8759,6434
Pune,हरभरा,digvijay,6697
Pune,हरभरा,vijay,5327
Pune,ज्वारी,Foxtail millet,6210
Pune,बाजरी,MLSH 2428,2363
Pune,तूर,godavari,6171
Pune,ज्वारी,Foxtail millet,5063
Pune,सोयाबीन,js335,3396
Pune,तूर,bdl 716,4757
Pune,गहू,HI-8759,7954
Pune,सोयाबीन,js335,3192
Pune,ज्वारी,Foxtail millet,3063
Pune,हरभरा,digvijay,6431
Pune,तूर,bdl 711,7547
Pune,गहू,HI-8759,3638
Pune,तूर,bdl 711,3982
Pune,सोयाबीन,maus 162,4910
Pune,सोयाबीन,maus 71,7735
Pune,ज्वारी,Foxtail millet,7647
Pune,तूर,godavari,4073
Pune,तूर,godavari,4728
Pune,सोयाबीन,js335,5908
Pune,हरभरा,digvijay,3941
Pune,ज्वारी,Foxtail millet,5623
Pune,हरभरा,jaki 9218,3049
Pune,तूर,godavari,4102
Pune,सोयाबीन,maus 71,5789
Pune,सोयाबीन,js335,6608
Pune,गहू,शरबती,6944
Pune,तूर,bdl 711,7169
Pune,बाजरी,MLSH 2428,7687
Pune,ज्वारी,Foxtail millet,3395
Pune,बाजरी,MLSH-296 GOLD,5423
Pune,ज्वारी,Foxtail millet,7598
Pune,गहू,शरबती,5668
Pune,हरभरा,jaki 9218,2487
Pune,हरभरा,jaki 9218,6260
Pune,ज्वारी,Foxtail millet,6469
Pune,बाजरी,MLSH 2428,7235
Pune,सोयाबीन,js335,6299
Pune,गहू,HI-8759,4107
Pune,तूर,bdl 711,3138
Pune,बाजरी,MLSH 2428,5101
Pune,सोयाबीन,js335,4633
Pune,सोयाबीन,js335,2505
Pune,सोयाबीन,maus 71,6294
Pune,ज्वारी,Foxtail millet,7225
Pune,तूर,bdl 711,5419
Pune,तूर,bdl 711,6076
Pune,बाजरी,MLSH-296 GOLD,2767
Pune,सोयाबीन,maus 71,3377
Pune,गहू,HI-8759,3112
Pune,हरभरा,j11,3596
Pune,ज्वारी,Foxtail millet,7383
Pune,ज्वारी,Foxtail millet,7324
Pune,बाजरी,MLSH-296 GOLD,5667
Pune,सोयाबीन,maus 162,2163
Pune,तूर,bdl 711,3834
Pune,तूर,bdl 711,2481
Pune,गहू,HI-8759,4758
Pune,तूर,bdl 716,7059
Pune,बाजरी,MLSH 2428,2808
Pune,सोयाबीन,maus 162,5900
Pune,तूर,bdl 711,2527
Pune,सोयाबीन,js335,4342
Pune,गहू,जीडब्ल्यू 12,2951
Pune,हरभरा,j11,6250
Pune,ज्वारी,Foxtail millet,2640
Pune,गहू,HI-8759,2134
Pune,ज्वारी,Foxtail millet,5043
Pune,सोयाबीन,js335,6331
Pune,बाजरी,MLSH-296 GOLD,5226
Pune,सोयाबीन,maus 162,4890
Pune,ज्वारी,Foxtail millet,5872
Pune,बाजरी,MLSH-296 GOLD,5954
Pune,ज्वारी,Foxtail millet,7707
Pune,गहू,HI-8759,5560
Pune,ज्वारी,Foxtail millet,4304
Pune,बाजरी,MLSH 2428,7863
Pune,ज्वारी,Foxtail millet,5830
Pune,ज्वारी,Foxtail millet,7120
Pune,सोयाबीन,maus 71,5584
Pune,ज्वारी,Foxtail millet,5186
Pune,ज्वारी,Foxtail millet,5014
Pune,तूर,bdl 711,2416
Pune,बाजरी,MLSH-296 GOLD,4052
Pune,तूर,bdl 711,3247
Pune,सोयाबीन,js335,6919
Pune,सोयाबीन,maus 162,4756
Pune,ज्वारी,Foxtail millet,6349
Pune,गहू,HI-8759,4163
Pune,गहू,शरबती,7520
Pune,तूर,bdl 711,4775
Pune,बाजरी,MLSH-296 GOLD,5830
Pune,तूर,bdl 711,5537
Pune,ज्वारी,Foxtail millet,4928
Pune,सोयाबीन,js335,5949
Pune,हरभरा,jaki 9218,4699
Pune,गहू,शरबती,2056
Pune,ज्वारी,Foxtail millet,6203
Pune,तूर,godavari,2192
Pune,गहू,HI-8759,7210
Pune,गहू,जीडब्ल्यू 12,3716
Pune,गहू,HI-8759,7606
Pune,बाजरी,MLSH-296 GOLD,7231
Pune,बाजरी,MLSH 2428,5438
Pune,हरभरा,j11,3841
Pune,तूर,godavari,4845
Pune,बाजरी,MLSH-296 GOLD,3670
Pune,गहू,HI-8759,2413
Pune,हरभरा,j11,7236
Pune,हरभरा,vijay,3530
Pune,ज्वारी,Foxtail millet,4167
Pune,हरभरा,jaki 9218,2117
Pune,सोयाबीन,maus 71,3086
Pune,ज्वारी,Foxtail millet,3046
Pune,बाजरी,MLSH 2428,6835
Pune,ज्वारी,Foxtail millet,6960
Pune,हरभरा,jaki 9218,7228
Pune,सोयाबीन,maus 162,4191
Pune,हरभरा,vijay,5734
Pune,गहू,शरबती,4493
Pune,तूर,bdl 716,3393
Pune,गहू,HI-8759,7261
Pune,हरभरा,vijay,7150
Pune,तूर,bdl 716,6251
Pune,सोयाबीन,js335,6171
Pune,ज्वारी,Foxtail millet,5971
Pune,बाजरी,MLSH-296 GOLD,4299
Pune,बाजरी,MLSH 2428,2462
Pune,सोयाबीन,maus 71,3014
Pune,सोयाबीन,maus 162,6764
Pune,तूर,godavari,6835
Pune,तूर,bdl 711,4014
Pune,तूर,bdl 711,7805
Pune,बाजरी,MLSH 2428,3978
Pune,ज्वारी,Foxtail millet,4702
Pune,ज्वारी,Foxtail millet,6118
Pune,गहू,HI-8759,5665
Pune,बाजरी,MLSH-296 GOLD,6358
Pune,हरभरा,jaki 9218,3203
Pune,हरभरा,digvijay,6977
Pune,तूर,bdl 711,6529
Pune,हरभरा,vijay,4179
Pune,बाजरी,MLSH 2428,6858
Pune,हरभरा,digvijay,4499
Pune,हरभरा,j11,7827
Pune,बाजरी,MLSH-296 GOLD,5921
Pune,बाजरी,MLSH 2428,6179
Pune,तूर,bdl 716,6349
Pune,तूर,bdl 716,5561
Pune,बाजरी,MLSH 2428,5565
Pune,ज्वारी,Foxtail millet,4371
Pune,हरभरा,j11,7793
Pune,ज्वारी,Foxtail millet,6814
Pune,तूर,godavari,7565
Pune,तूर,bdl 711,6878
Pune,सोयाबीन,maus 71,3523
Pune,बाजरी,MLSH-296 GOLD,7615
Pune,सोयाबीन,maus 71,6134
Pune,हरभरा,vijay,6622
Pune,ज्वारी,Foxtail millet,7715
Pune,सोयाबीन,maus 71,2689
Pune,ज्वारी,Foxtail millet,7356
Pune,हरभरा,jaki 9218,5001
Pune,हरभरा,jaki 9218,2546
Pune,सोयाबीन,maus 71,2089
Pune,बाजरी,MLSH 2428,3006
Pune,ज्वारी,Foxtail millet,6149
Pune,सोयाबीन,js335,3600
Pune,बाजरी,MLSH 2428,2984
Pune,ज्वारी,Foxtail millet,6651
Pune,ज्वारी,Foxtail millet,3892
Pune,हरभरा,vijay,2903
Pune,तूर,godavari,5504
Pune,ज्वारी,Foxtail millet,2541
Pune,गहू,शरबती,3624
Pune,तूर,bdl 716,6931
Pune,ज्वारी,Foxtail millet,6074
Pune,बाजरी,MLSH 2428,4592
Pune,तूर,godavari,5318
Pune,हरभरा,vijay,7008
Pune,बाजरी,MLSH 2428,5871
Pune,सोयाबीन,maus 71,6168
Pune,ज्वारी,Foxtail millet,4672
