city,crop,crop_variety,Modal_Price (Rs./Quintal)
pune,ज्वारी,Foxtail millet,2523
pune,गहू,शरबती,5922
pune,ज्वारी,Foxtail millet,6361
pune,बाजरी,MLSH 2428,5057
pune,सोयाबीन,maus 162,6728
pune,ज्वारी,Foxtail millet,2239
pune,बाजरी,MLSH-296 GOLD,7784
pune,तूर,bdl 711,7645
pune,सोयाबीन,js335,3102
pune,हरभरा,vijay,2378
pune,ज्वारी,Foxtail millet,7393
pune,गहू,जीडब्ल्यू 12,7337
pune,बाजरी,MLSH-296 GOLD,7387
pune,बाजरी,MLSH-296 GOLD,3108
pune,तूर,bdl 711,2276
pune,हरभरा,j11,2671
pune,बाजरी,MLSH 2428,5243
pune,सोयाबीन,js335,6715
pune,ज्वारी,Foxtail millet,6845
pune,तूर,godavari,4019
pune,गहू,HI-8759,6039
pune,बाजरी,MLSH-296 GOLD,4003
pune,ज्वारी,Foxtail millet,3180
pune,गहू,HI-8759,5408
pune,सोयाबीन,js335,5723
pune,सोयाबीन,maus 162,2722
pune,तूर,godavari,3995
pune,सोयाबीन,maus 162,2022
pune,गहू,शरबती,7104
pune,ज्वारी,Foxtail millet,5177
pune,सोयाबीन,js335,5695
pune,गहू,जीडब्ल्यू 12,6075
pune,ज्वारी,Foxtail millet,2211
pune,तूर,bdl 716,2535
pune,तूर,godavari,4618
pune,ज्वारी,Foxtail millet,5391
pune,ज्वारी,Foxtail millet,4303
pune,सोयाबीन,js335,2680
pune,सोयाबीन,maus 71,3708
pune,हरभरा,j11,7242
pune,सोयाबीन,maus 162,3848
pune,गहू,जीडब्ल्यू 12,2722
pune,गहू,HI-8759,4112
pune,गहू,HI-8759,7554
pune,तूर,bdl 716,2417
pune,हरभरा,jaki 9218,3888
pune,तूर,bdl 716,4064
pune,हरभरा,digvijay,2311
pune,तूर,godavari,6376
pune,हरभरा,vijay,6690
pune,गहू,जीडब्ल्यू 12,2541
pune,हरभरा,digvijay,3780
pune,सोयाबीन,maus 71,7337
pune,तूर,bdl 716,7337
pune,बाजरी,MLSH 2428,5732
pune,तूर,bdl 711,4379
pune,तूर,bdl 711,2800
pune,हरभरा,jaki 9218,4829
pune,गहू,HI-8759,5465
pune,सोयाबीन,maus 162,7992
pune,हरभरा,vijay,6961
pune,ज्वारी,Foxtail millet,3039
pune,हरभरा,digvijay,7915
pune,बाजरी,MLSH 2428,6289
pune,ज्वारी,Foxtail millet,4771
pune,बाजरी,MLSH 2428,3120
pune,गहू,HI-8759,4607
pune,गहू,शरबती,2170
pune,सोयाबीन,maus 162,5806
pune,सोयाबीन,js335,3827
pune,सोयाबीन,js335,4943
pune,बाजरी,MLSH-296 GOLD,6709
pune,ज्वारी,Foxtail millet,4738
pune,हरभरा,digvijay,3427
pune,गहू,जीडब्ल्यू 12,2350
pune,गहू,शरबती,2506
pune,तूर,bdl 711,4842
pune,हरभरा,vijay,4793
pune,तूर,bdl 711,4312
pune,तूर,bdl 711,5274
pune,बाजरी,MLSH 2428,6117
pune,हरभरा,digvijay,2427
pune,हरभरा,vijay,4640
pune,सोयाबीन,maus 71,4373
pune,बाजरी,MLSH 2428,7387
pune,बाजरी,MLSH 2428,3045
pune,बाजरी,MLSH-296 GOLD,5878
pune,गहू,HI-8759,5026
pune,सोयाबीन,js335,3403
pune,ज्वारी,Foxtail millet,5685
pune,हरभरा,vijay,5972
pune,हरभरा,vijay,3947
pune,सोयाबीन,js335,4376
pune,ज्वारी,Foxtail millet,2405
pune,बाजरी,MLSH 2428,2508
pune,तूर,bdl 711,6219
pune,बाजरी,MLSH 2428,5759
pune,हरभरा,digvijay,3618
pune,तूर,bdl 711,5033
pune,गहू,जीडब्ल्यू 12,4003
pune,गहू,HI-8759,4407
pune,गहू,HI-8759,5352
pune,सोयाबीन,js335,5945
pune,गहू,शरबती,5497
pune,ज्वारी,Foxtail millet,2972
pune,तूर,bdl 711,7134
pune,तूर,bdl 716,6610
pune,तूर,bdl 711,5456
pune,गहू,जीडब्ल्यू 12,2101
pune,ज्वारी,Foxtail millet,5885
pune,हरभरा,vijay,4490
pune,तूर,godavari,5421
pune,गहू,शरबती,4895
pune,गहू,शरबती,5413
pune,गहू,HI-8759,5622
pune,हरभरा,digvijay,6680
pune,तूर,bdl 711,3046
pune,सोयाबीन,maus 162,5873
pune,गहू,HI-8759,4703
pune,तूर,bdl 711,6443
pune,बाजरी,MLSH 2428,6364
pune,सोयाबीन,maus 162,3045
pune,ज्वारी,Foxtail millet,4890
pune,ज्वारी,Foxtail millet,2999
pune,हरभरा,j11,5914
pune,गहू,HI-8759,6381
pune,सोयाबीन,maus 71,5179
pune,बाजरी,MLSH 2428,5200
pune,सोयाबीन,js335,4090
pune,सोयाबीन,js335,4099
pune,तूर,godavari,5551
pune,हरभरा,jaki 9218,3538
pune,बाजरी,MLSH 2428,6444
pune,ज्वारी,Foxtail millet,7390
pune,बाजरी,MLSH-296 GOLD,3352
pune,सोयाबीन,js335,6952
pune,ज्वारी,Foxtail millet,6735
pune,हरभरा,j11,4625
pune,बाजरी,MLSH 2428,4534
pune,ज्वारी,Foxtail millet,5103
pune,तूर,bdl 711,7590
pune,ज्वारी,Foxtail millet,7610
pune,सोयाबीन,maus 71,5533
pune,ज्वारी,Foxtail millet,2293
pune,बाजरी,MLSH 2428,2738
pune,बाजरी,MLSH 2428,6234
pune,गहू,HI-8759,6774
pune,ज्वारी,Foxtail millet,6713
pune,सोयाबीन,maus 71,7508
pune,गहू,HI-8759,7229
pune,ज्वारी,Foxtail millet,4693
pune,बाजरी,MLSH 2428,7605
pune,बाजरी,MLSH 2428,7813
pune,गहू,HI-8759,5020
pune,गहू,HI-8759,4245
pune,तूर,godavari,5628
pune,बाजरी,MLSH-296 GOLD,2158
pune,सोयाबीन,js335,6611
pune,बाजरी,MLSH 2428,4000
pune,सोयाबीन,js335,5897
pune,हरभरा,jaki 9218,3900
pune,सोयाबीन,js335,6489
pune,गहू,HI-8759,3506
pune,हरभरा,j11,4388
pune,हरभरा,jaki 9218,7014
pune,गहू,HI-8759,5835
pune,हरभरा,digvijay,4224
pune,गहू,HI-8759,7080
pune,ज्वारी,Foxtail millet,4608
pune,हरभरा,j11,6337
pune,बाजरी,MLSH 2428,3079
pune,हरभरा,vijay,7131
pune,बाजरी,MLSH 2428,3861
pune,ज्वारी,Foxtail millet,6687
pune,सोयाबीन,maus 162,2756
pune,ज्वारी,Foxtail millet,5781
pune,सोयाबीन,maus 71,2379
pune,गहू,HI-8759,5336
pune,तूर,bdl 711,2791
pune,ज्वारी,Foxtail millet,4378
pune,बाजरी,MLSH 2428,3537
pune,तूर,godavari,2222
pune,ज्वारी,Foxtail millet,4767
pune,सोयाबीन,maus 162,4035
pune,तूर,bdl 716,5579
pune,ज्वारी,Foxtail millet,3765
pune,तूर,godavari,6423
pune,सोयाबीन,maus 162,2600
pune,हरभरा,j11,6147
pune,बाजरी,MLSH-296 GOLD,3762
pune,हरभरा,digvijay,3838
pune,गहू,HI-8759,5454
pune,बाजरी,MLSH 2428,4200
pune,ज्वारी,Foxtail millet,4584
pune,हरभरा,j11,5310
pune,बाजरी,MLSH-296 GOLD,2831
pune,ज्वारी,Foxtail millet,5085
pune,गहू,शरबती,5772
pune,ज्वारी,Foxtail millet,5183
pune,सोयाबीन,maus 71,7795
pune,सोयाबीन,js335,2026
pune,बाजरी,MLSH 2428,5498
pune,हरभरा,j11,5376
pune,ज्वारी,Foxtail millet,5190
pune,ज्वारी,Foxtail millet,5638
pune,तूर,bdl 716,3572
pune,गहू,जीडब्ल्यू 12,2426
pune,गहू,जीडब्ल्यू 12,4974
pune,हरभरा,digvijay,4223
pune,बाजरी,MLSH-296 GOLD,6185
pune,गहू,HI-8759,5701
